timestamp,message
1763136935229,"INIT_START Runtime Version: python:3.13.v69	Runtime Version ARN: arn:aws:lambda:eu-south-1::runtime:43fd6210a9f34c985f8b9370495e29fd2d20cadbe0e9eaea7ae03633587655fd
"
1763136935758,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_order_view.py::<module>::25"",""message"":""DYNAMODB ORDER: LOADING"",""timestamp"":""2025-11-14 16:15:35,758+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1""}
"
1763136935763,"START RequestId: 3da3cc7a-0e13-464a-be70-8364a9f93077 Version: $LATEST
"
1763136935763,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""9a95a825e099c27aae9a957c99923f41"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763136934.0,""Keys"":{""SK"":{""S"":""35TbIqExftEy0Rj5uE4PjHKIdEF""},""PK"":{""S"":""DDBQ_EXP_ORDER#041""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_ORDER""},""ExpirationTs"":{""N"":""1763136931""},""SK"":{""S"":""35TbIqExftEy0Rj5uE4PjHKIdEF""},""Payload"":{""M"":{""text"":{""S"":""041""}}},""PK"":{""S"":""DDBQ_EXP_ORDER#041""}},""SequenceNumber"":""14561800002719480989747612"",""SizeBytes"":180,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-14 16:15:35,763+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":true,""function_name"":""ddbq-exp-prod-dynamodb-order"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-order"",""function_request_id"":""3da3cc7a-0e13-464a-be70-8364a9f93077"",""xray_trace_id"":""1-691755a7-202adb1633db162147897d8d""}
"
1763136935764,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_order_view.py::lambda_handler::131"",""message"":""DYNAMODB ORDER: START"",""timestamp"":""2025-11-14 16:15:35,763+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":true,""function_name"":""ddbq-exp-prod-dynamodb-order"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-order"",""function_request_id"":""3da3cc7a-0e13-464a-be70-8364a9f93077"",""xray_trace_id"":""1-691755a7-202adb1633db162147897d8d""}
"
1763136937115,"END RequestId: 3da3cc7a-0e13-464a-be70-8364a9f93077
"
1763136937115,"REPORT RequestId: 3da3cc7a-0e13-464a-be70-8364a9f93077	Duration: 1351.76 ms	Billed Duration: 1882 ms	Memory Size: 256 MB	Max Memory Used: 102 MB	Init Duration: 529.82 ms	
"
1763136937119,"START RequestId: b36a74f4-7527-4fe4-8f91-edf43a5f99e9 Version: $LATEST
"
1763136937120,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""21ab7ea26b8dbfa369c388f0fe6479f0"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763136935.0,""Keys"":{""SK"":{""S"":""35TbIv3UjdIBgcFEBKWhJdAVBP3""},""PK"":{""S"":""DDBQ_EXP_ORDER#041""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_ORDER""},""ExpirationTs"":{""N"":""1763136932""},""SK"":{""S"":""35TbIv3UjdIBgcFEBKWhJdAVBP3""},""Payload"":{""M"":{""text"":{""S"":""042""}}},""PK"":{""S"":""DDBQ_EXP_ORDER#041""}},""SequenceNumber"":""14561900000592327163164891"",""SizeBytes"":180,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-14 16:15:37,120+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-order"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-order"",""function_request_id"":""b36a74f4-7527-4fe4-8f91-edf43a5f99e9"",""xray_trace_id"":""1-691755a9-d6317151ae70765ababfd415""}
"
1763136937120,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_order_view.py::lambda_handler::131"",""message"":""DYNAMODB ORDER: START"",""timestamp"":""2025-11-14 16:15:37,120+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-order"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-order"",""function_request_id"":""b36a74f4-7527-4fe4-8f91-edf43a5f99e9"",""xray_trace_id"":""1-691755a9-d6317151ae70765ababfd415""}
"
1763136938496,"END RequestId: b36a74f4-7527-4fe4-8f91-edf43a5f99e9
"
1763136938496,"REPORT RequestId: b36a74f4-7527-4fe4-8f91-edf43a5f99e9	Duration: 1376.30 ms	Billed Duration: 1377 ms	Memory Size: 256 MB	Max Memory Used: 114 MB	
"
1763136938504,"START RequestId: 366adc76-e157-4d1b-903f-ade9471231ff Version: $LATEST
"
1763136938514,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""272c009ac0f338d777a256234f4eb54b"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763136935.0,""Keys"":{""SK"":{""S"":""35TbIvqLncoK3VJGEcWWHRzLKC4""},""PK"":{""S"":""DDBQ_EXP_ORDER#041""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_ORDER""},""ExpirationTs"":{""N"":""1763136932""},""SK"":{""S"":""35TbIvqLncoK3VJGEcWWHRzLKC4""},""Payload"":{""M"":{""text"":{""S"":""043""}}},""PK"":{""S"":""DDBQ_EXP_ORDER#041""}},""SequenceNumber"":""14562000000689119074979635"",""SizeBytes"":180,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-14 16:15:38,513+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-order"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-order"",""function_request_id"":""366adc76-e157-4d1b-903f-ade9471231ff"",""xray_trace_id"":""1-691755aa-aa159db8302824ca21a4bf8a""}
"
1763136938514,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_order_view.py::lambda_handler::131"",""message"":""DYNAMODB ORDER: START"",""timestamp"":""2025-11-14 16:15:38,514+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-order"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-order"",""function_request_id"":""366adc76-e157-4d1b-903f-ade9471231ff"",""xray_trace_id"":""1-691755aa-aa159db8302824ca21a4bf8a""}
"
1763136939455,"END RequestId: 366adc76-e157-4d1b-903f-ade9471231ff
"
1763136939455,"REPORT RequestId: 366adc76-e157-4d1b-903f-ade9471231ff	Duration: 950.04 ms	Billed Duration: 951 ms	Memory Size: 256 MB	Max Memory Used: 116 MB	
"
1763136940060,"START RequestId: 375315be-68c3-48cd-8318-422be91ee576 Version: $LATEST
"
1763136940061,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""87c7335d3d00cdaec2449334bc698a99"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763136936.0,""Keys"":{""SK"":{""S"":""35TbJ8B1MxZwtfFoaD2vgNdypJ0""},""PK"":{""S"":""DDBQ_EXP_ORDER#35TbJ8B1MxZwtfFoaD2vgNdypJ0""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_ORDER""},""ExpirationTs"":{""N"":""1763136934""},""SK"":{""S"":""35TbJ8B1MxZwtfFoaD2vgNdypJ0""},""Payload"":{""M"":{""text"":{""S"":""039""}}},""PK"":{""S"":""DDBQ_EXP_ORDER#35TbJ8B1MxZwtfFoaD2vgNdypJ0""}},""SequenceNumber"":""14534100002388634079842316"",""SizeBytes"":228,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-14 16:15:40,060+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-order"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-order"",""function_request_id"":""375315be-68c3-48cd-8318-422be91ee576"",""xray_trace_id"":""1-691755ac-008c1d4a6c6a90794c4f67a7""}
"
