timestamp,message
1763043885386,"INIT_START Runtime Version: python:3.13.v68	Runtime Version ARN: arn:aws:lambda:eu-south-1::runtime:65146f0fbf5cb9d34934e5b4ab5f3cab46f46064159f046fd14cb06e649a6f60
"
1763043885804,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::<module>::25"",""message"":""DYNAMODB PARELLEL: LOADING"",""timestamp"":""2025-11-13 14:24:45,803+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1""}
"
1763043885807,"START RequestId: 293ffd3d-0857-4119-a9a1-472a7b206c9f Version: $LATEST
"
1763043885808,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""789798e202e64d8b687cfbae72c42a92"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763043884.0,""Keys"":{""SK"":{""S"":""35QYhXfuFYKdjwMAsY1Erdyc8bG""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYhXfuFYKdjwMAsY1Erdyc8bG""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763043882""},""SK"":{""S"":""35QYhXfuFYKdjwMAsY1Erdyc8bG""},""Payload"":{""M"":{""text"":{""S"":""031""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYhXfuFYKdjwMAsY1Erdyc8bG""}},""SequenceNumber"":""9502700002121480005496420"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-13 14:24:45,808+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":true,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""293ffd3d-0857-4119-a9a1-472a7b206c9f"",""xray_trace_id"":""1-6915ea2d-615f060cecbcd41cfd1c334b""}
"
1763043885808,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::lambda_handler::131"",""message"":""DYNAMODB PARELLEL: START"",""timestamp"":""2025-11-13 14:24:45,808+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":true,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""293ffd3d-0857-4119-a9a1-472a7b206c9f"",""xray_trace_id"":""1-6915ea2d-615f060cecbcd41cfd1c334b""}
"
1763043887044,"END RequestId: 293ffd3d-0857-4119-a9a1-472a7b206c9f
"
1763043887044,"REPORT RequestId: 293ffd3d-0857-4119-a9a1-472a7b206c9f	Duration: 1236.49 ms	Billed Duration: 1656 ms	Memory Size: 256 MB	Max Memory Used: 102 MB	Init Duration: 418.75 ms	
"
1763043887157,"START RequestId: 6071143b-14eb-4133-ba0b-dc7b5175e0b7 Version: $LATEST
"
1763043887158,"{""level"":""INFO"",""location"":""/opt/python/aws_lambda_powertools/logging/logger.py::decorate::535"",""message"":{""Records"":[{""eventID"":""323e751f6c728badadafa89d74510dba"",""eventName"":""INSERT"",""eventVersion"":""1.1"",""eventSource"":""aws:dynamodb"",""awsRegion"":""eu-south-1"",""dynamodb"":{""ApproximateCreationDateTime"":1763043885.0,""Keys"":{""SK"":{""S"":""35QYhdE9kLJflCD6xmEdUemLd1z""},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYhdE9kLJflCD6xmEdUemLd1z""}},""NewImage"":{""SenderApp"":{""S"":""DDBQ_EXP_PRODUCER""},""TaskId"":{""S"":""DDBQ_EXP_PARALLEL""},""ExpirationTs"":{""N"":""1763043882""},""SK"":{""S"":""35QYhdE9kLJflCD6xmEdUemLd1z""},""Payload"":{""M"":{""text"":{""S"":""019""}}},""PK"":{""S"":""DDBQ_EXP_PARALLEL#35QYhdE9kLJflCD6xmEdUemLd1z""}},""SequenceNumber"":""9484100000883901349676840"",""SizeBytes"":237,""StreamViewType"":""NEW_IMAGE""},""eventSourceARN"":""arn:aws:dynamodb:eu-south-1:477353422995:table/ddbq-exp-task-prod/stream/2025-11-11T13:45:49.967""}]},""timestamp"":""2025-11-13 14:24:47,158+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""6071143b-14eb-4133-ba0b-dc7b5175e0b7"",""xray_trace_id"":""1-6915ea2f-9f17ca228eb697ff72821206""}
"
1763043887158,"{""level"":""INFO"",""location"":""/var/task/ddbq_exp/dynamodb_parallel_view.py::lambda_handler::131"",""message"":""DYNAMODB PARELLEL: START"",""timestamp"":""2025-11-13 14:24:47,158+0000"",""service"":""DynamoDB Queue to Lambda experiment @ v0.0.1"",""cold_start"":false,""function_name"":""ddbq-exp-prod-dynamodb-parallel"",""function_memory_size"":""256"",""function_arn"":""arn:aws:lambda:eu-south-1:477353422995:function:ddbq-exp-prod-dynamodb-parallel"",""function_request_id"":""6071143b-14eb-4133-ba0b-dc7b5175e0b7"",""xray_trace_id"":""1-6915ea2f-9f17ca228eb697ff72821206""}
"
